time,price
2026-03-07T11:02:23+00:00,1984.23
2026-03-07T11:02:24+00:00,1984.23
2026-03-07T11:02:25+00:00,1984.23
2026-03-07T11:02:26+00:00,1984.23
2026-03-07T11:02:28+00:00,1984.23
2026-03-07T11:02:29+00:00,1984.23
2026-03-07T11:02:30+00:00,1984.22
2026-03-07T11:02:31+00:00,1984.22
2026-03-07T11:02:32+00:00,1984.22
2026-03-07T11:02:34+00:00,1984.22
2026-03-07T11:02:35+00:00,1984.23
2026-03-07T11:02:36+00:00,1984.22
2026-03-07T11:02:38+00:00,1984.0
2026-03-07T11:02:39+00:00,1984.0
2026-03-07T11:02:40+00:00,1984.0
2026-03-07T11:02:41+00:00,1984.0
2026-03-07T11:02:42+00:00,1984.0
2026-03-07T11:02:43+00:00,1984.01
2026-03-07T11:02:44+00:00,1984.01
2026-03-07T11:02:45+00:00,1984.0
2026-03-07T11:02:46+00:00,1984.0
2026-03-07T11:02:47+00:00,1983.99
2026-03-07T11:02:48+00:00,1984.0
2026-03-07T11:02:49+00:00,1983.99
2026-03-07T11:02:50+00:00,1983.99
2026-03-07T11:02:51+00:00,1984.0
2026-03-07T11:02:53+00:00,1983.99
2026-03-07T11:02:54+00:00,1983.92
2026-03-07T11:02:55+00:00,1983.93
2026-03-07T11:02:56+00:00,1983.93
2026-03-07T11:02:58+00:00,1983.93
2026-03-07T11:03:00+00:00,1983.92
2026-03-07T11:03:01+00:00,1983.92
2026-03-07T11:03:02+00:00,1983.92
2026-03-07T11:03:03+00:00,1983.92
2026-03-07T11:03:04+00:00,1983.92
2026-03-07T11:03:05+00:00,1983.92
2026-03-07T11:03:07+00:00,1983.92
2026-03-07T11:03:08+00:00,1983.93
2026-03-07T11:03:09+00:00,1983.93
2026-03-07T11:03:10+00:00,1983.93
2026-03-07T11:03:11+00:00,1983.93
2026-03-07T11:03:12+00:00,1983.82
2026-03-07T11:03:13+00:00,1983.78
2026-03-07T11:03:14+00:00,1983.78
2026-03-07T11:03:15+00:00,1983.77
2026-03-07T11:03:16+00:00,1983.77
2026-03-07T11:03:17+00:00,1983.77
2026-03-07T11:03:19+00:00,1983.77
2026-03-07T11:03:20+00:00,1983.78
2026-03-07T11:03:21+00:00,1983.77
2026-03-07T11:03:22+00:00,1983.66
2026-03-07T11:03:23+00:00,1983.59
2026-03-07T11:03:24+00:00,1983.59
2026-03-07T11:03:25+00:00,1983.58
2026-03-07T11:03:26+00:00,1983.58
2026-03-07T11:03:27+00:00,1983.57
2026-03-07T11:03:28+00:00,1983.57
2026-03-07T11:03:29+00:00,1983.57
2026-03-07T11:03:30+00:00,1983.58
2026-03-07T11:03:31+00:00,1983.58
2026-03-07T11:03:32+00:00,1983.57
2026-03-07T11:03:33+00:00,1983.52
2026-03-07T11:03:34+00:00,1983.53
2026-03-07T11:03:36+00:00,1983.53
2026-03-07T11:03:38+00:00,1983.53
2026-03-07T11:03:39+00:00,1983.53
2026-03-07T11:03:40+00:00,1983.52
2026-03-07T11:03:41+00:00,1983.52
2026-03-07T11:03:42+00:00,1983.52
2026-03-07T11:03:43+00:00,1983.52
2026-03-07T11:03:44+00:00,1983.52
2026-03-07T11:03:45+00:00,1983.52
2026-03-07T11:03:46+00:00,1983.41
2026-03-07T11:03:47+00:00,1983.38
2026-03-07T11:03:48+00:00,1983.38
2026-03-07T11:03:49+00:00,1983.38
2026-03-07T11:03:50+00:00,1983.31
2026-03-07T11:03:51+00:00,1983.3
2026-03-07T11:03:52+00:00,1983.3
2026-03-07T11:03:53+00:00,1983.3
2026-03-07T11:03:54+00:00,1983.14
2026-03-07T11:03:55+00:00,1983.15
2026-03-07T11:03:56+00:00,1983.15
2026-03-07T11:03:58+00:00,1983.07
2026-03-07T11:03:59+00:00,1983.07
2026-03-07T11:04:00+00:00,1983.08
2026-03-07T11:04:01+00:00,1983.08
2026-03-07T11:04:02+00:00,1983.07
2026-03-07T11:04:03+00:00,1982.58
2026-03-07T11:04:04+00:00,1982.59
2026-03-07T11:04:05+00:00,1982.67
2026-03-07T11:04:06+00:00,1982.68
2026-03-07T11:04:07+00:00,1982.68
2026-03-07T11:04:08+00:00,1982.68
2026-03-07T11:04:09+00:00,1982.68
2026-03-07T11:04:10+00:00,1982.68
2026-03-07T11:04:11+00:00,1982.68
2026-03-07T11:04:12+00:00,1982.67
2026-03-07T11:04:13+00:00,1982.68
2026-03-07T11:04:14+00:00,1982.68
2026-03-07T11:04:15+00:00,1982.72
2026-03-07T11:04:16+00:00,1982.72
2026-03-07T11:04:17+00:00,1982.73
2026-03-07T11:04:18+00:00,1982.73
2026-03-07T11:04:19+00:00,1982.73
2026-03-07T11:04:20+00:00,1982.72
2026-03-07T11:04:21+00:00,1982.73
2026-03-07T11:04:22+00:00,1982.73
2026-03-07T11:04:24+00:00,1982.72
2026-03-07T11:04:26+00:00,1982.73
2026-03-07T11:04:28+00:00,1982.72
2026-03-07T11:04:29+00:00,1982.72
2026-03-07T11:04:31+00:00,1982.72
2026-03-07T11:04:32+00:00,1982.72
2026-03-07T11:04:33+00:00,1982.72
2026-03-07T11:04:34+00:00,1982.72
2026-03-07T11:04:36+00:00,1982.72
2026-03-07T11:04:37+00:00,1982.72
2026-03-07T11:04:38+00:00,1982.73
2026-03-07T11:04:39+00:00,1982.73
2026-03-07T11:04:40+00:00,1982.72
2026-03-07T11:04:41+00:00,1982.73
2026-03-07T11:04:42+00:00,1982.73
2026-03-07T11:04:43+00:00,1982.72
2026-03-07T11:04:44+00:00,1982.72
2026-03-07T11:04:45+00:00,1982.73
2026-03-07T11:04:46+00:00,1982.73
2026-03-07T11:04:47+00:00,1982.73
2026-03-07T11:04:48+00:00,1982.72
2026-03-07T11:04:49+00:00,1982.72
2026-03-07T11:04:50+00:00,1982.72
2026-03-07T11:04:51+00:00,1982.72
2026-03-07T11:04:52+00:00,1982.77
2026-03-07T11:04:54+00:00,1982.78
2026-03-07T11:04:55+00:00,1982.77
2026-03-07T11:04:56+00:00,1982.77
2026-03-07T11:04:57+00:00,1982.78
2026-03-07T11:04:59+00:00,1982.77
2026-03-07T11:05:01+00:00,1982.91
2026-03-07T11:05:02+00:00,1982.91
2026-03-07T11:05:03+00:00,1982.91
2026-03-07T11:05:04+00:00,1982.91
2026-03-07T11:05:06+00:00,1983.11
2026-03-07T11:05:07+00:00,1983.1
2026-03-07T11:05:08+00:00,1983.1
2026-03-07T11:05:09+00:00,1983.1
2026-03-07T11:05:10+00:00,1983.1
2026-03-07T11:05:11+00:00,1983.1
2026-03-07T11:05:14+00:00,1983.11
2026-03-07T11:05:15+00:00,1983.11
2026-03-07T11:05:16+00:00,1983.03
2026-03-07T11:05:17+00:00,1983.04
2026-03-07T11:05:21+00:00,1983.04
2026-03-07T11:05:22+00:00,1983.04
2026-03-07T11:05:23+00:00,1983.03
2026-03-07T11:05:24+00:00,1983.03
2026-03-07T11:05:25+00:00,1983.04
2026-03-07T11:05:26+00:00,1983.04
2026-03-07T11:05:27+00:00,1983.03
2026-03-07T11:05:28+00:00,1983.03
2026-03-07T11:05:29+00:00,1983.03
2026-03-07T11:05:31+00:00,1983.03
2026-03-07T11:05:32+00:00,1983.03
2026-03-07T11:05:33+00:00,1983.04
2026-03-07T11:05:35+00:00,1983.04
2026-03-07T11:05:36+00:00,1983.03
2026-03-07T11:05:37+00:00,1983.03
2026-03-07T11:05:39+00:00,1983.04
2026-03-07T11:05:40+00:00,1983.04
2026-03-07T11:05:41+00:00,1983.04
2026-03-07T11:05:42+00:00,1983.03
2026-03-07T11:05:43+00:00,1983.04
2026-03-07T11:05:44+00:00,1983.03
2026-03-07T11:05:45+00:00,1983.03
2026-03-07T11:05:46+00:00,1983.03
2026-03-07T11:05:48+00:00,1983.03
2026-03-07T11:05:49+00:00,1983.03
2026-03-07T11:05:51+00:00,1983.03
2026-03-07T11:05:52+00:00,1982.64
2026-03-07T11:05:53+00:00,1982.64
2026-03-07T11:05:54+00:00,1982.64
2026-03-07T11:05:55+00:00,1982.64
2026-03-07T11:05:58+00:00,1982.64
2026-03-07T11:05:59+00:00,1982.65
2026-03-07T11:06:00+00:00,1982.64
2026-03-07T11:06:01+00:00,1982.64
2026-03-07T11:06:02+00:00,1982.64
2026-03-07T11:06:04+00:00,1982.64
2026-03-07T11:06:05+00:00,1982.64
2026-03-07T11:06:06+00:00,1982.63
2026-03-07T11:06:08+00:00,1982.63
2026-03-07T11:06:09+00:00,1982.35
2026-03-07T11:06:10+00:00,1982.35
2026-03-07T11:06:11+00:00,1982.35
2026-03-07T11:06:12+00:00,1982.5
2026-03-07T11:06:13+00:00,1982.67
2026-03-07T11:06:14+00:00,1982.74
2026-03-07T11:06:16+00:00,1982.74
2026-03-07T11:06:18+00:00,1982.74
2026-03-07T11:06:19+00:00,1982.75
2026-03-07T11:06:20+00:00,1982.75
2026-03-07T11:06:21+00:00,1982.74
2026-03-07T11:06:22+00:00,1982.76
2026-03-07T11:06:26+00:00,1982.87
2026-03-07T11:06:27+00:00,1982.96
2026-03-07T11:06:28+00:00,1982.96
2026-03-07T11:06:29+00:00,1982.96
2026-03-07T11:06:30+00:00,1983.1
2026-03-07T11:06:31+00:00,1983.1
2026-03-07T11:06:32+00:00,1983.13
2026-03-07T11:06:33+00:00,1983.14
2026-03-07T11:06:34+00:00,1983.21
2026-03-07T11:06:35+00:00,1983.24
2026-03-07T11:06:36+00:00,1983.24
2026-03-07T11:06:38+00:00,1983.24
2026-03-07T11:06:39+00:00,1983.24
2026-03-07T11:06:41+00:00,1983.52
2026-03-07T11:06:42+00:00,1983.56
2026-03-07T11:06:43+00:00,1983.57
2026-03-07T11:06:45+00:00,1983.62
2026-03-07T11:06:46+00:00,1983.62
2026-03-07T11:06:49+00:00,1983.62
2026-03-07T11:06:50+00:00,1983.62
2026-03-07T11:06:51+00:00,1983.62
2026-03-07T11:06:52+00:00,1983.71
2026-03-07T11:06:54+00:00,1983.72
2026-03-07T11:06:55+00:00,1983.72
2026-03-07T11:06:57+00:00,1983.71
2026-03-07T11:06:59+00:00,1983.72
2026-03-07T11:07:00+00:00,1983.72
2026-03-07T11:07:01+00:00,1983.71
2026-03-07T11:07:02+00:00,1983.71
2026-03-07T11:07:03+00:00,1983.71
2026-03-07T11:07:04+00:00,1983.71
2026-03-07T11:07:05+00:00,1983.71
2026-03-07T11:07:07+00:00,1983.76
2026-03-07T11:07:08+00:00,1983.83
2026-03-07T11:07:09+00:00,1983.99
2026-03-07T11:07:10+00:00,1983.99
2026-03-07T11:07:11+00:00,1984.0
2026-03-07T11:07:12+00:00,1984.0
2026-03-07T11:07:13+00:00,1984.2
2026-03-07T11:07:14+00:00,1984.2
2026-03-07T11:07:15+00:00,1984.2
2026-03-07T11:07:16+00:00,1984.2
2026-03-07T11:07:17+00:00,1984.19
2026-03-07T11:07:18+00:00,1984.19
2026-03-07T11:07:20+00:00,1984.19
2026-03-07T11:07:22+00:00,1984.19
2026-03-07T11:07:23+00:00,1984.2
2026-03-07T11:07:24+00:00,1984.2
2026-03-07T11:07:25+00:00,1984.2
2026-03-07T11:07:26+00:00,1984.2
2026-03-07T11:07:29+00:00,1984.2
2026-03-07T11:07:30+00:00,1984.2
2026-03-07T11:07:31+00:00,1984.2
2026-03-07T11:07:32+00:00,1984.2
2026-03-07T11:07:34+00:00,1984.2
2026-03-07T11:07:35+00:00,1984.2
2026-03-07T11:07:36+00:00,1984.21
2026-03-07T11:07:38+00:00,1984.25
2026-03-07T11:07:39+00:00,1984.26
2026-03-07T11:07:41+00:00,1984.39
2026-03-07T11:07:42+00:00,1984.39
2026-03-07T11:07:43+00:00,1984.58
2026-03-07T11:07:44+00:00,1984.59
2026-03-07T11:07:45+00:00,1984.75
2026-03-07T11:07:46+00:00,1984.75
2026-03-07T11:07:48+00:00,1984.75
2026-03-07T11:07:50+00:00,1984.74
2026-03-07T11:07:51+00:00,1984.74
2026-03-07T11:07:53+00:00,1984.74
2026-03-07T11:07:54+00:00,1984.76
2026-03-07T11:07:55+00:00,1984.76
2026-03-07T11:07:56+00:00,1984.82
2026-03-07T11:07:58+00:00,1984.86
2026-03-07T11:07:59+00:00,1984.86
2026-03-07T11:08:00+00:00,1984.86
2026-03-07T11:08:01+00:00,1984.82
2026-03-07T11:08:02+00:00,1984.57
2026-03-07T11:08:03+00:00,1984.55
2026-03-07T11:08:04+00:00,1984.56
2026-03-07T11:08:05+00:00,1984.56
2026-03-07T11:08:06+00:00,1984.56
2026-03-07T11:08:07+00:00,1984.55
2026-03-07T11:08:08+00:00,1984.55
2026-03-07T11:08:09+00:00,1984.55
2026-03-07T11:08:10+00:00,1984.55
2026-03-07T11:08:11+00:00,1984.56
2026-03-07T11:08:12+00:00,1984.56
2026-03-07T11:08:13+00:00,1984.56
2026-03-07T11:08:14+00:00,1984.51
2026-03-07T11:08:15+00:00,1984.51
2026-03-07T11:08:16+00:00,1984.47
2026-03-07T11:08:17+00:00,1984.46
2026-03-07T11:08:18+00:00,1984.47
2026-03-07T11:08:19+00:00,1984.47
2026-03-07T11:08:20+00:00,1984.47
2026-03-07T11:08:21+00:00,1984.45
2026-03-07T11:08:22+00:00,1984.46
2026-03-07T11:08:23+00:00,1984.46
2026-03-07T11:08:25+00:00,1984.45
2026-03-07T11:08:26+00:00,1984.45
2026-03-07T11:08:27+00:00,1984.43
2026-03-07T11:08:28+00:00,1984.44
2026-03-07T11:08:29+00:00,1984.43
2026-03-07T11:08:30+00:00,1984.44
2026-03-07T11:08:31+00:00,1984.44
2026-03-07T11:08:32+00:00,1984.44
2026-03-07T11:08:34+00:00,1984.44
2026-03-07T11:08:35+00:00,1984.44
2026-03-07T11:08:37+00:00,1984.44
2026-03-07T11:08:38+00:00,1984.44
2026-03-07T11:08:39+00:00,1984.44
2026-03-07T11:08:40+00:00,1984.43
2026-03-07T11:08:41+00:00,1984.44
2026-03-07T11:08:42+00:00,1984.44
2026-03-07T11:08:45+00:00,1984.44
2026-03-07T11:08:46+00:00,1984.41
2026-03-07T11:08:47+00:00,1984.42
2026-03-07T11:08:48+00:00,1984.42
2026-03-07T11:08:49+00:00,1984.41
2026-03-07T11:08:50+00:00,1984.41
2026-03-07T11:08:52+00:00,1984.42
2026-03-07T11:08:53+00:00,1984.41
2026-03-07T11:08:54+00:00,1984.41
2026-03-07T11:08:55+00:00,1984.41
2026-03-07T11:08:56+00:00,1984.42
2026-03-07T11:08:58+00:00,1984.41
2026-03-07T11:08:59+00:00,1984.41
2026-03-07T11:09:00+00:00,1984.41
2026-03-07T11:09:01+00:00,1984.0
2026-03-07T11:09:02+00:00,1984.0
2026-03-07T11:09:03+00:00,1984.0
2026-03-07T11:09:04+00:00,1984.0
2026-03-07T11:09:05+00:00,1984.0
2026-03-07T11:09:06+00:00,1984.0
2026-03-07T11:09:07+00:00,1984.0
2026-03-07T11:09:09+00:00,1984.01
2026-03-07T11:09:10+00:00,1984.01
2026-03-07T11:09:11+00:00,1984.01
2026-03-07T11:09:12+00:00,1984.01
2026-03-07T11:09:13+00:00,1984.01
2026-03-07T11:09:15+00:00,1984.01
2026-03-07T11:09:16+00:00,1984.0
2026-03-07T11:09:17+00:00,1984.0
2026-03-07T11:09:18+00:00,1983.72
2026-03-07T11:09:19+00:00,1983.72
2026-03-07T11:09:20+00:00,1983.72
2026-03-07T11:09:21+00:00,1983.73
2026-03-07T11:09:22+00:00,1983.73
2026-03-07T11:09:23+00:00,1983.73
2026-03-07T11:09:25+00:00,1983.73
2026-03-07T11:09:28+00:00,1983.66
2026-03-07T11:09:29+00:00,1983.66
2026-03-07T11:09:30+00:00,1983.66
2026-03-07T11:09:31+00:00,1983.66
2026-03-07T11:09:32+00:00,1983.65
2026-03-07T11:09:33+00:00,1983.65
2026-03-07T11:09:34+00:00,1983.65
2026-03-07T11:09:36+00:00,1983.65
2026-03-07T11:09:37+00:00,1983.65
2026-03-07T11:09:38+00:00,1983.65
2026-03-07T11:09:39+00:00,1983.66
2026-03-07T11:09:41+00:00,1983.52
2026-03-07T11:09:42+00:00,1983.52
2026-03-07T11:09:43+00:00,1983.52
2026-03-07T11:09:44+00:00,1983.52
2026-03-07T11:09:45+00:00,1983.44
2026-03-07T11:09:46+00:00,1983.44
2026-03-07T11:09:47+00:00,1983.44
2026-03-07T11:09:48+00:00,1983.44
2026-03-07T11:09:49+00:00,1983.44
2026-03-07T11:09:50+00:00,1983.44
2026-03-07T11:09:51+00:00,1983.44
2026-03-07T11:09:52+00:00,1983.44
2026-03-07T11:09:53+00:00,1983.45
2026-03-07T11:09:54+00:00,1983.44
2026-03-07T11:09:55+00:00,1983.45
2026-03-07T11:09:56+00:00,1983.45
2026-03-07T11:09:57+00:00,1983.45
2026-03-07T11:09:58+00:00,1983.45
2026-03-07T11:09:59+00:00,1983.45
2026-03-07T11:10:00+00:00,1983.45
2026-03-07T11:10:01+00:00,1983.44
2026-03-07T11:10:02+00:00,1983.44
2026-03-07T11:10:03+00:00,1983.45
2026-03-07T11:10:04+00:00,1983.45
2026-03-07T11:10:05+00:00,1983.44
2026-03-07T11:10:06+00:00,1983.45
2026-03-07T11:10:07+00:00,1983.72
2026-03-07T11:10:08+00:00,1983.73
2026-03-07T11:10:09+00:00,1983.73
2026-03-07T11:10:10+00:00,1983.72
2026-03-07T11:10:12+00:00,1983.73
2026-03-07T11:10:13+00:00,1983.73
2026-03-07T11:10:14+00:00,1983.73
2026-03-07T11:10:15+00:00,1983.73
2026-03-07T11:10:16+00:00,1983.73
2026-03-07T11:10:17+00:00,1983.73
2026-03-07T11:10:18+00:00,1983.72
2026-03-07T11:10:19+00:00,1983.72
2026-03-07T11:10:20+00:00,1983.72
2026-03-07T11:10:21+00:00,1983.72
2026-03-07T11:10:22+00:00,1983.72
2026-03-07T11:10:23+00:00,1983.73
2026-03-07T11:10:24+00:00,1983.73
2026-03-07T11:10:25+00:00,1983.75
2026-03-07T11:10:26+00:00,1983.76
2026-03-07T11:10:27+00:00,1983.76
2026-03-07T11:10:28+00:00,1983.6
2026-03-07T11:10:29+00:00,1983.6
2026-03-07T11:10:30+00:00,1983.6
2026-03-07T11:10:31+00:00,1983.59
2026-03-07T11:10:33+00:00,1983.59
2026-03-07T11:10:34+00:00,1983.59
2026-03-07T11:10:35+00:00,1983.6
2026-03-07T11:10:37+00:00,1983.6
2026-03-07T11:10:38+00:00,1983.6
2026-03-07T11:10:39+00:00,1983.6
2026-03-07T11:10:40+00:00,1983.6
2026-03-07T11:10:41+00:00,1983.6
2026-03-07T11:10:42+00:00,1983.6
2026-03-07T11:10:43+00:00,1983.6
2026-03-07T11:10:44+00:00,1983.59
2026-03-07T11:10:48+00:00,1983.6
2026-03-07T11:10:49+00:00,1983.6
2026-03-07T11:10:50+00:00,1983.59
2026-03-07T11:10:51+00:00,1983.6
2026-03-07T11:10:52+00:00,1983.6
2026-03-07T11:10:53+00:00,1983.6
2026-03-07T11:10:54+00:00,1983.6
2026-03-07T11:10:55+00:00,1983.6
2026-03-07T11:10:56+00:00,1983.6
2026-03-07T11:10:57+00:00,1983.6
2026-03-07T11:10:58+00:00,1983.6
2026-03-07T11:11:00+00:00,1983.6
2026-03-07T11:11:01+00:00,1983.59
2026-03-07T11:11:02+00:00,1983.6
2026-03-07T11:11:04+00:00,1983.6
2026-03-07T11:11:05+00:00,1983.6
2026-03-07T11:11:07+00:00,1983.59
2026-03-07T11:11:09+00:00,1983.59
2026-03-07T11:11:10+00:00,1983.59
2026-03-07T11:11:12+00:00,1983.6
2026-03-07T11:11:13+00:00,1983.6
2026-03-07T11:11:15+00:00,1983.6
2026-03-07T11:11:16+00:00,1983.72
2026-03-07T11:11:17+00:00,1983.72
2026-03-07T11:11:18+00:00,1983.72
2026-03-07T11:11:19+00:00,1983.71
2026-03-07T11:11:20+00:00,1983.71
2026-03-07T11:11:21+00:00,1983.72
2026-03-07T11:11:22+00:00,1983.72
2026-03-07T11:11:23+00:00,1983.71
2026-03-07T11:11:24+00:00,1983.71
2026-03-07T11:11:26+00:00,1983.72
2026-03-07T11:11:28+00:00,1983.72
2026-03-07T11:11:30+00:00,1983.96
2026-03-07T11:11:31+00:00,1983.96
2026-03-07T11:11:32+00:00,1986.64
2026-03-07T11:11:33+00:00,1986.63
2026-03-07T11:11:34+00:00,1986.64
2026-03-07T11:11:35+00:00,1986.48
2026-03-07T11:11:36+00:00,1986.48
2026-03-07T11:11:37+00:00,1988.28
2026-03-07T11:11:38+00:00,1988.28
2026-03-07T11:11:39+00:00,1988.39
2026-03-07T11:11:40+00:00,1988.18
2026-03-07T11:11:41+00:00,1988.18
2026-03-07T11:11:42+00:00,1988.17
2026-03-07T11:11:43+00:00,1987.71
2026-03-07T11:11:44+00:00,1987.71
2026-03-07T11:11:45+00:00,1987.71
2026-03-07T11:11:46+00:00,1987.72
2026-03-07T11:11:47+00:00,1987.72
2026-03-07T11:11:48+00:00,1987.71
2026-03-07T11:11:49+00:00,1987.71
2026-03-07T11:11:50+00:00,1987.81
2026-03-07T11:11:51+00:00,1987.81
2026-03-07T11:11:52+00:00,1987.81
2026-03-07T11:11:53+00:00,1987.81
2026-03-07T11:11:54+00:00,1987.82
2026-03-07T11:11:55+00:00,1987.9
2026-03-07T11:11:56+00:00,1988.01
2026-03-07T11:11:57+00:00,1988.08
2026-03-07T11:11:58+00:00,1988.09
2026-03-07T11:11:59+00:00,1988.25
2026-03-07T11:12:00+00:00,1988.19
2026-03-07T11:12:01+00:00,1988.19
2026-03-07T11:12:02+00:00,1988.03
2026-03-07T11:12:03+00:00,1988.03
2026-03-07T11:12:04+00:00,1988.03
2026-03-07T11:12:05+00:00,1987.94
2026-03-07T11:12:06+00:00,1987.89
2026-03-07T11:12:07+00:00,1987.9
2026-03-07T11:12:08+00:00,1987.89
2026-03-07T11:12:09+00:00,1987.89
2026-03-07T11:12:10+00:00,1987.89
2026-03-07T11:12:11+00:00,1987.77
2026-03-07T11:12:12+00:00,1987.77
2026-03-07T11:12:13+00:00,1987.74
2026-03-07T11:12:14+00:00,1988.33
2026-03-07T11:12:15+00:00,1988.4
2026-03-07T11:12:16+00:00,1988.4
2026-03-07T11:12:17+00:00,1988.4
2026-03-07T11:12:18+00:00,1988.4
2026-03-07T11:12:19+00:00,1988.38
2026-03-07T11:12:20+00:00,1988.38
2026-03-07T11:12:21+00:00,1988.38
2026-03-07T11:12:22+00:00,1988.38
